,0,1,SAL_CODE
183,Koondoola,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50781/download/GCP_SAL50781.xlsx,50781
184,Koongamia,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50782/download/GCP_SAL50782.xlsx,50782
185,Kwinana Beach,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50805/download/GCP_SAL50805.xlsx,50805
186,Kwinana Town Centre,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50806/download/GCP_SAL50806.xlsx,50806
187,Lake Coogee,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50816/download/GCP_SAL50816.xlsx,50816
188,Lakelands,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50828/download/GCP_SAL50828.xlsx,50828
189,Landsdale,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50831/download/GCP_SAL50831.xlsx,50831
190,Langford,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50833/download/GCP_SAL50833.xlsx,50833
191,Lathlain,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50835/download/GCP_SAL50835.xlsx,50835
192,Leda,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50838/download/GCP_SAL50838.xlsx,50838
193,Leederville,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50840/download/GCP_SAL50840.xlsx,50840
194,Leeming,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50842/download/GCP_SAL50842.xlsx,50842
195,Lesmurdie,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50849/download/GCP_SAL50849.xlsx,50849
196,Lexia,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50850/download/GCP_SAL50850.xlsx,50850
197,Lockridge,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50857/download/GCP_SAL50857.xlsx,50857
198,Lynwood,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50871/download/GCP_SAL50871.xlsx,50871
199,Maddington,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50873/download/GCP_SAL50873.xlsx,50873
200,Madeley,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50874/download/GCP_SAL50874.xlsx,50874
201,Madora Bay,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50875/download/GCP_SAL50875.xlsx,50875
202,Mahogany Creek,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50879/download/GCP_SAL50879.xlsx,50879
203,Maida Vale,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50881/download/GCP_SAL50881.xlsx,50881
204,Malaga,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50884/download/GCP_SAL50884.xlsx,50884
205,Mandogalup,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50889/download/GCP_SAL50889.xlsx,50889
206,Mandurah,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50890/download/GCP_SAL50890.xlsx,50890
207,Manning,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/SAL50893/download/GCP_SAL50893.xlsx,50893
